bbl,bldg,m,og_address,zip code,cd,fc,ss,sa,cc,bin,dev_name,boro,units,transfer,new_address
3017990044,1,M,280 TOMPKINS AVENUE,11216,03,08,25,56,36,3322175,ARMSTRONG II,brooklyn,248, 02/12/2020,280 TOMPKINS AVENUE
3018040010,2,M,360 LEXINGTON AVENUE,11216,03,08,25,56,36,3322211,ARMSTRONG II,brooklyn,248, 02/12/2020,360 LEXINGTON AVENUE
3018040010,2,M,370 LEXINGTON AVENUE,11216,03,08,25,56,36,3322211,ARMSTRONG II,brooklyn,248, 02/12/2020,370 LEXINGTON AVENUE
3018040010,2,M,380 LEXINGTON AVENUE,11216,03,08,25,56,36,3322213,ARMSTRONG II,brooklyn,248, 02/12/2020,380 LEXINGTON AVENUE
3018040010,3,M,390 LEXINGTON AVENUE,11216,03,08,25,56,36,3322214,ARMSTRONG II,brooklyn,248, 02/12/2020,390 LEXINGTON AVENUE
3018090001,4,M,775 MARCY AVENUE,11216,03,08,25,56,36,3322228,ARMSTRONG II,brooklyn,248, 02/12/2020,775 MARCY AVENUE
3018090001,4,M,785 MARCY AVENUE,11216,03,08,25,56,36,3322229,ARMSTRONG II,brooklyn,248, 02/12/2020,785 MARCY AVENUE
3018090001,4,M,791 MARCY AVENUE,11216,03,08,25,56,36,3322230,ARMSTRONG II,brooklyn,248, 02/12/2020,791 MARCY AVENUE
3018090062,5,M,499 GATES AVENUE,11216,03,08,25,56,36,3322236,ARMSTRONG II,brooklyn,248, 02/12/2020,499 GATES AVENUE
3018090062,5,M,505 GATES AVENUE,11216,03,08,25,56,36,3322234,ARMSTRONG II,brooklyn,248, 02/12/2020,505 GATES AVENUE
3018090062,5,M,515 GATES AVENUE,11216,03,08,25,56,36,3322234,ARMSTRONG II,brooklyn,248, 02/12/2020,515 GATES AVENUE
3018090062,6,,495 GATES AVENUE,11216,03,08,25,56,36,3050974,ARMSTRONG II,brooklyn,248, 02/12/2020,495 GATES AVENUE
3021570006,4,M,96 SOUTH 10TH STREET,11249,01,07,18,50,34,3346894,BERRY STREET-SOUTH 9TH STREET,brooklyn,150, 02/12/2020,96 SOUTH 10 STREET
2025680012,5,M,699 EAST 139TH STREET,10454,01,14,29,84,08,2091291,"BETANCES III, 13",bronx,51, 11/16/2018,699 EAST 139 STREET
2022910023,6,M,409 EAST 146TH STREET,10455,01,15,29,84,08,2091085,BETANCES IV,bronx,282, 11/16/2018,409 EAST 146 STREET
2022910023,6,,411 EAST 146TH STREET,10455,01,15,29,84,08,2091085,BETANCES IV,bronx,282, 11/16/2018,411 EAST 146 STREET
2022910023,7,M,413 EAST 146TH STREET,10455,01,15,29,84,08,2091070,BETANCES IV,bronx,282, 11/16/2018,413 EAST 146 STREET
2022910023,7,,415 EAST 146TH STREET,10455,01,15,29,84,08,2091070,BETANCES IV,bronx,282, 11/16/2018,415 EAST 146 STREET
2022910023,8,M,445 EAST 146TH STREET,10455,01,15,29,84,08,2091092,BETANCES IV,bronx,282, 11/16/2018,445 EAST 146 STREET
3043550001,1,M,785 SCHENCK AVENUE,11207,05,08,19,60,42,3324285,BOULEVARD,brooklyn,"1,441", 12/28/2021,785 SCHENCK AVENUE
3043550001,1,,2150 LINDEN BOULEVARD,11207,05,08,19,60,42,3324285,BOULEVARD,brooklyn,"1,441", 12/28/2021,2150 LINDEN BOULEVARD
3043550001,1,M,797 SCHENCK AVENUE,11207,05,08,19,60,42,3324285,BOULEVARD,brooklyn,"1,441", 12/28/2021,797 SCHENCK AVENUE
3043550001,10,M,842 ASHFORD STREET,11207,05,08,19,60,42,3324288,BOULEVARD,brooklyn,"1,441", 12/28/2021,842 ASHFORD STREET
3043550001,10,,773 STANLEY AVENUE,11207,05,08,19,60,42,3324288,BOULEVARD,brooklyn,"1,441", 12/28/2021,773 STANLEY AVENUE
3043550001,10,M,854 ASHFORD STREET,11207,05,08,19,60,42,3324288,BOULEVARD,brooklyn,"1,441", 12/28/2021,854 ASHFORD STREET
3043770001,11,M,845 SCHENCK AVENUE,11207,05,08,19,60,42,3324162,BOULEVARD,brooklyn,"1,441", 12/28/2021,845 SCHENCK AVENUE
3043770001,11,M,857 SCHENCK AVENUE,11207,05,08,19,60,42,3324162,BOULEVARD,brooklyn,"1,441", 12/28/2021,857 SCHENCK AVENUE
3043770001,12,M,881 SCHENCK AVENUE,11207,05,08,19,60,42,3324276,BOULEVARD,brooklyn,"1,441", 12/28/2021,881 SCHENCK AVENUE
3043770001,12,M,893 SCHENCK AVENUE,11207,05,08,19,60,42,3324276,BOULEVARD,brooklyn,"1,441", 12/28/2021,893 SCHENCK AVENUE
3043770001,13,,726 STANLEY AVENUE,11207,05,08,19,60,42,3324277,BOULEVARD,brooklyn,"1,441", 12/28/2021,726 STANLEY AVENUE
3043770001,13,M,738 STANLEY AVENUE,11207,05,08,19,60,42,3324277,BOULEVARD,brooklyn,"1,441", 12/28/2021,738 STANLEY AVENUE
3043770001,13,M,740 STANLEY AVENUE,11207,05,08,19,60,42,3324277,BOULEVARD,brooklyn,"1,441", 12/28/2021,740 STANLEY AVENUE
3043770001,14,M,359 WORTMAN AVENUE,11207,05,08,19,60,42,3324279,BOULEVARD,brooklyn,"1,441", 12/28/2021,359 WORTMAN AVENUE
3043770001,14,M,357 WORTMAN AVENUE,11207,05,08,19,60,42,3324279,BOULEVARD,brooklyn,"1,441", 12/28/2021,357 WORTMAN AVENUE
3043770001,15,M,756 STANLEY AVENUE,11207,05,08,19,60,42,3324278,BOULEVARD,brooklyn,"1,441", 12/28/2021,756 STANLEY AVENUE
3043770001,15,M,758 STANLEY AVENUE,11207,05,08,19,60,42,3324278,BOULEVARD,brooklyn,"1,441", 12/28/2021,758 STANLEY AVENUE
3043770001,15,,772 STANLEY AVENUE,11207,05,08,19,60,42,3324278,BOULEVARD,brooklyn,"1,441", 12/28/2021,772 STANLEY AVENUE
3043770001,16,M,363 WORTMAN AVENUE,11207,05,08,19,60,42,3324280,BOULEVARD,brooklyn,"1,441", 12/28/2021,363 WORTMAN AVENUE
