,bbl,bin,bldg#,m,direction,house_num,street_name,street_type,zip,full_address
1204,3035500006,3081481,8,M,,199,TAPSCOTT,STREET,11212,199 TAPSCOTT STREET
1205,2030940014,2012652,1,M,,2070,CLINTON,AVENUE,10457,2070 CLINTON AVENUE
1206,2031430167,2000000,1,,,2251,WEBSTER,AVENUE,10457,2251 WEBSTER AVENUE
1207,2031430206,2000000,1,,,2273,WEBSTER,AVENUE,10457,2273 WEBSTER AVENUE
1208,2031437501,2000000,1,,,2291,WEBSTER,AVENUE,10458,2291 WEBSTER AVENUE
1209,2031437501,2000000,1,,,2303,WEBSTER,AVENUE,10458,2303 WEBSTER AVENUE
1210,2031437501,2130369,1,,EAST,371,183,STREET,10458,371 EAST 183 STREET
1211,2031430206,2000000,1,,EAST,380,183,STREET,10458,380 EAST 183 STREET
1212,2031430167,2000000,1,,,386,FORD,STREET,10457,386 FORD STREET
1213,2031437501,2000000,1,,EAST,390,184,STREET,10458,390 EAST 184 STREET
1214,2031437501,2000000,1,,EAST,394,184,STREET,10458,394 EAST 184 STREET
1215,2031430155,2000000,1,M,,365,FORD,STREET,10458,365 FORD STREET
1216,2031430155,2092394,1,,,360,FORD,STREET,10457,360 FORD STREET
1217,2031430155,2092394,1,M,,365,FORD,STREET,10457,365 FORD STREET
1218,2031430155,2092394,1,M,,365,FORD,STREET,10457,365 FORD STREET
1219,2031430155,2092394,1,,,353,FORD,STREET,10457,353 FORD STREET
1220,2031430155,2092394,1,,,355,FORD,STREET,10457,355 FORD STREET
1221,2031430155,2092394,1,M,,365,FORD,STREET,10457,365 FORD STREET
1222,2031430155,2092394,1,,,365,FORD,STREET,10457,365 FORD STREET
1223,2031430155,2092394,1,M,EAST,365,183,STREET,10457,365 EAST 183 STREET
1224,2031430155,2092394,1,M,EAST,365,183,STREET,10457,365 EAST 183 STREET
1225,2031430155,2092394,1,,EAST,355,183,STREET,10458,355 EAST 183 STREET
1226,2031430155,2092394,1,M,EAST,365,183,STREET,10458,365 EAST 183 STREET
1227,2026780001,2005015,1,M,,950,UNION,AVENUE,10459,950 UNION AVENUE
1228,2026800013,2091990,1,M,,1135,PROSPECT,AVENUE,10459,1135 PROSPECT AVENUE
1229,2026800013,2091991,2,M,EAST,819,167,STREET,10459,819 EAST 167 STREET
1230,2026800013,2091991,2,M,EAST,817,167,STREET,10459,817 EAST 167 STREET
1231,2026800013,2091991,2,M,EAST,815,167,STREET,10459,815 EAST 167 STREET
1232,2026800013,2091991,2,M,EAST,813,167,STREET,10459,813 EAST 167 STREET
1233,2026800013,2091991,2,M,EAST,811,167,STREET,10459,811 EAST 167 STREET
1234,2026800001,2091986,3,M,,1104,UNION,AVENUE,10459,1104 UNION AVENUE
1235,2026800001,2091986,3,M,,1102,UNION,AVENUE,10459,1102 UNION AVENUE
1236,2026800001,2091986,3,M,,1100,UNION,AVENUE,10459,1100 UNION AVENUE
1237,2026800001,2091986,3,M,,1098,UNION,AVENUE,10459,1098 UNION AVENUE
1238,2026800001,2091986,3,M,,1096,UNION,AVENUE,10459,1096 UNION AVENUE
1239,2026800001,2091985,4,M,EAST,815,166,STREET,10459,815 EAST 166 STREET
1240,2026800001,2091985,4,M,EAST,817,166,STREET,10459,817 EAST 166 STREET
1241,2026800001,2091985,4,M,EAST,819,166,STREET,10459,819 EAST 166 STREET
1242,2026800001,2091983,5,M,EAST,822,167,STREET,10459,822 EAST 167 STREET
1243,2026800001,2091983,5,M,EAST,820,167,STREET,10459,820 EAST 167 STREET
1244,2026800001,2091983,5,M,EAST,818,167,STREET,10459,818 EAST 167 STREET
1245,2026800001,2091984,6,M,,1111,PROSPECT,AVENUE,10459,1111 PROSPECT AVENUE
1246,2026800001,2091984,6,M,,1113,PROSPECT,AVENUE,10459,1113 PROSPECT AVENUE
1247,2026800001,2091984,6,M,,1115,PROSPECT,AVENUE,10459,1115 PROSPECT AVENUE
1248,2028790032,2000000,6,,,1921,UNIVERSITY,AVENUE,10453,1921 UNIVERSITY AVENUE
1249,2028790043,2009058,1,M,,1865,UNIVERSITY,AVENUE,10453,1865 UNIVERSITY AVENUE
1250,2028790041,2009057,2,M,,1875,UNIVERSITY,AVENUE,10453,1875 UNIVERSITY AVENUE
1251,2028790033,2009055,3,M,,1895,UNIVERSITY,AVENUE,10453,1895 UNIVERSITY AVENUE
1252,2028790030,2009054,4,M,,1925,UNIVERSITY,AVENUE,10453,1925 UNIVERSITY AVENUE
1253,2028790030,2009054,4,M,,1927,UNIVERSITY,AVENUE,10453,1927 UNIVERSITY AVENUE
1254,1021320047,1063193,1,M,WEST,501,176,STREET,10033,501 WEST 176 STREET
1255,1021320047,1063193,1,,,2340,AMSTERDAM,AVENUE,10033,2340 AMSTERDAM AVENUE
1256,1021320047,1063193,1,,,2346,AMSTERDAM,AVENUE,10033,2346 AMSTERDAM AVENUE
