,building_name,borough,total_units,tds,transferred_date,page_number,bbl,bldg,m,address
188,BETANCES V,BRONX,100,231,11/16/2018,6,,,,
189,BETANCES V,BRONX,100,231,11/16/2018,6,,,,
190,BETANCES V,BRONX,100,231,11/16/2018,6,,,,
191,BETANCES V,BRONX,100,231,11/16/2018,6,,,,
192,BETANCES V,BRONX,100,231,11/16/2018,6,,,,
193,BETANCES V,BRONX,100,231,11/16/2018,6,,,,
194,BETANCES V,BRONX,100,231,11/16/2018,6,,,,
195,BETANCES V,BRONX,100,231,11/16/2018,6,,,,
196,BETANCES V,BRONX,100,231,11/16/2018,6,,,,
197,BETANCES V,BRONX,100,231,11/16/2018,6,,,,
198,BETANCES V,BRONX,100,231,11/16/2018,6,,,,
199,BETANCES V,BRONX,100,231,11/16/2018,6,,,,
200,BETANCES V,BRONX,100,231,11/16/2018,6,,,,
201,BETANCES V,BRONX,100,231,11/16/2018,6,,,,
202,BETANCES V,BRONX,100,231,11/16/2018,6,,,,
203,BETANCES V,BRONX,100,231,11/16/2018,6,,,,
204,BETANCES V,BRONX,100,231,11/16/2018,6,,,,
205,BETANCES V,BRONX,100,231,11/16/2018,6,,,,
206,BETANCES V,BRONX,100,231,11/16/2018,6,,,,
207,BETANCES V,BRONX,100,231,11/16/2018,6,,,,
208,BETANCES V,BRONX,100,231,11/16/2018,6,,,,
209,BETANCES V,BRONX,100,231,11/16/2018,6,,,,
210,BETANCES V,BRONX,100,231,11/16/2018,6,,,,
211,BETANCES VI,BRONX,155,285,11/16/2018,6,2022870026,,,450 EAST 143RD STREET
212,BETANCES VI,BRONX,155,285,11/16/2018,6,2022720005,1,M,521 EAST 146TH STREET
213,BETANCES VI,BRONX,155,285,11/16/2018,6,2022720005,2,M,525 EAST 146TH STREET
214,BETANCES VI,BRONX,155,285,11/16/2018,6,2022720038,3,M,521 EAST 145TH STREET
215,BETANCES VI,BRONX,155,285,11/16/2018,6,2022720038,3,,525 EAST 145TH STREET
216,BETANCES VI,BRONX,155,285,11/16/2018,6,2022910023,6,M,409 EAST 146TH STREET
217,BETANCES VI,BRONX,155,285,11/16/2018,6,2022910023,6,,411 EAST 146TH STREET
218,BETANCES VI,BRONX,155,285,11/16/2018,6,2022910023,7,M,413 EAST 146TH STREET
219,BETANCES VI,BRONX,155,285,11/16/2018,6,2022910023,7,,415 EAST 146TH STREET
220,BETANCES VI,BRONX,155,285,11/16/2018,6,2022910023,8,M,445 EAST 146TH STREET
221,BETHUNE GARDENS,MANHATTAN,210,160,1/10/2023,6,2022910001,1,M,400 EAST 147TH STREET
222,BETHUNE GARDENS,MANHATTAN,210,160,1/10/2023,6,2022910030,2,M,460 EAST 147TH STREET
223,BETHUNE GARDENS,MANHATTAN,210,160,1/10/2023,6,2022720119,3,M,550 EAST 147TH STREET
224,BETHUNE GARDENS,MANHATTAN,210,160,1/10/2023,6,2022910001,4,,474 WILLIS AVENUE
225,BETHUNE GARDENS,MANHATTAN,210,160,1/10/2023,6,2022720119,5,,465 SAINT ANNS AVENUE
226,BETHUNE GARDENS,MANHATTAN,210,160,1/10/2023,6,1021070059,1,,1947 AMSTERDAM AVENUE
227,BOSTON ROAD PLAZA,BRONX,235,189,9/26/2024,7,,,,
228,BOSTON ROAD PLAZA,BRONX,235,189,9/26/2024,7,,,,
229,BOSTON SECOR,BRONX,538,138,9/26/2024,7,2044310001,1,,2430 BOSTON ROAD
