address,development_name,current_apts,total_apts,transferred_date
2041 UNION STREET,,,,
2045 UNION STREET,,,,
205 SCHOLES STREET,,,,
205 TEN EYCK WALK,,,,
2055 UNION STREET,,,,
2058 UNION STREET,,,,
206 GRAHAM AVENUE,,,,
2063 UNION STREET,,,,
2065 DEAN STREET,,,,
2067 UNION STREET,,,,
2068 UNION STREET,,,,
2069 UNION STREET,,,,
207 WEST 151 STREET,,,,
2079 UNION STREET,,,,
208 GRAHAM AVENUE,,,,
208 ROCHESTER AVENUE,,,,
209 TAPSCOTT STREET,,,,
210 BROADWAY,,,,
210 GRAHAM AVENUE,,,,
210 PALMETTO STREET,,,,
210 WEST 153 STREET,,,,
2109 AMSTERDAM AVENUE,,,,
211 STAGG WALK,,,,
211 WEST 151 STREET,,,,
2111 AMSTERDAM AVENUE,,,,
212 GRAHAM AVENUE,,,,
213 COZINE AVENUE,,,,
213 STAGG WALK,,,,
214 GRAHAM AVENUE,,,,
214 MAUJER STREET,,,,
214 STAGG WALK,,,,
215 COZINE AVENUE,,,,
215 SCHOLES STREET,,,,
215 STAGG WALK,,,,
215 WORTMAN AVENUE,,,,
2150 LINDEN BOULEVARD,,,,
2155 PITKIN AVENUE,,,,
2156 LINDEN BOULEVARD,,,,
216 MAUJER STREET,,,,
216 STAGG WALK,,,,
2165 PITKIN AVENUE,,,,
217 COZINE AVENUE,,,,
217 SCHOLES STREET,,,,
2175 REEDS MILL LANE,,,,
218 MAUJER STREET,,,,
218 REEDS MILL LANE,,,,
218 ROCHESTER AVENUE,,,,
218 STAGG WALK,,,,
2181 PITKIN AVENUE,,,,
2185 PITKIN AVENUE,,,,
2185 REEDS MILL LANE,,,,
2189 PITKIN AVENUE,,,,
219 SCHOLES STREET,,,,
219 TEN EYCK WALK,,,,
220 LINDEN STREET,,,,
220 MAUJER STREET,,,,
220 STAGG WALK,,,,
220 WEST 152 STREET,,,,
2202 LINDEN BOULEVARD,,,,
221 DIVISION AVENUE,,,,
221 TEN EYCK WALK,,,,
221 WEST 152 STREET,,,,
2211 PITKIN AVENUE,,,,
2215 PITKIN AVENUE,,,,
2219 PITKIN AVENUE,,,,
222 GRAHAM AVENUE,,,,
222 STAGG WALK,,,,
222 TEN EYCK WALK,,,,
2221 PITKIN AVENUE,,,,
223 DIVISION AVENUE,,,,
223 TEN EYCK WALK,,,,
224 LINDEN STREET,,,,
224 TEN EYCK WALK,,,,
224 WEST 152 STREET,,,,
225 BUFFALO AVENUE,,,,
225 DIVISION AVENUE,,,,
225 WEST 152 STREET,,,,
225 WORTMAN AVENUE,,,,
2251 WEBSTER AVENUE,,,,
226 GROVE STREET,,,,
226 TEN EYCK WALK,,,,
226 WEST 152 STREET,,,,
227 DIVISION AVENUE,,,,
2273 WEBSTER AVENUE,,,,
228 LINDEN STREET,,,,
229 WEST 152 STREET,,,,
2291 WEBSTER AVENUE,,,,
230 BROADWAY,,,,
230 GROVE STREET,,,,
230 LINDEN STREET,,,,
230 ROCHESTER AVENUE,,,,
2303 WEBSTER AVENUE,,,,
231 GRAHAM AVENUE,,,,
231 WEST 151 STREET,,,,
232 LINDEN STREET,,,,
232 ROCHESTER AVENUE,,,,
233 GRAHAM AVENUE,,,,
233 STAGG WALK,,,,
234 GROVE STREET,,,,
234 ROCHESTER AVENUE,,,,
234 WEST 152 STREET,,,,
2340 AMSTERDAM AVENUE,,,,
2346 AMSTERDAM AVENUE,,,,
235 GRAHAM AVENUE,,,,
235 LINDEN STREET,,,,
235 STAGG WALK,,,,
236 LINDEN STREET,,,,
237 GRAHAM AVENUE,,,,
238 GRAHAM AVENUE,,,,
238 GROVE STREET,,,,
239 GRAHAM AVENUE,,,,
