,development_name,borough,total_units,transferred_date,address,street_number,street_name,full_address,violationid,buildingid,registrationid,boroid,housenumber,lowhousenumber,highhousenumber,streetname,class,inspectiondate,approveddate,originalcertifybydate,originalcorrectbydate,newcertifybydate,newcorrectbydate,certifieddate,ordernumber,novid,novdescription,novissueddate,currentstatusid,currentstatus,currentstatusdate,novtype,violationstatus,rentimpairing,inspectiondate_year,novissued_year,date_pulled,no_days_open,one_yr_post_transfer
5087,EDENWALD,BRONX,2039,2023-06-27,1160 229 DRIVE SOUTH,1160.0,229 DRIVE SOUTH,1160 229 DRIVE SOUTH,17891189,807151,228725.0,2,1160,1160,1160,229 DRIVE SOUTH,A,2025-05-11,2025-05-11,08/29/2025,08/15/2025,,,05/14/2025,556.0,9753607.0,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT SOUTH WALL AT PUBLIC HALL, 2nd STORY",2025-05-12,19.0,VIOLATION CLOSED,2025-07-11,Original,Close,N,2025,2025.0,2025-10-06,60.0,2024-06-26
5088,EDENWALD,BRONX,2039,2023-06-27,1160 229 DRIVE SOUTH,1160.0,229 DRIVE SOUTH,1160 229 DRIVE SOUTH,17338798,807151,228725.0,2,1160,1160,1160,229 DRIVE SOUTH,A,2024-10-07,2024-10-07,01/25/2025,01/11/2025,,,12/30/2024,556.0,9371884.0,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT EAST WALL IN THE ENTRANCE LOCATED AT APT 8H, 8th STORY, 2nd APARTMENT FROM EAST AT SOUTH",2024-10-08,9.0,VIOLATION DISMISSED,2025-03-12,Original,Close,N,2024,2024.0,2025-10-06,155.0,2024-06-26
5089,EDENWALD,BRONX,2039,2023-06-27,1160 229 DRIVE SOUTH,1160.0,229 DRIVE SOUTH,1160 229 DRIVE SOUTH,17248067,807151,228725.0,2,1160,1160,1160,229 DRIVE SOUTH,A,2024-08-29,2024-09-03,12/22/2024,12/08/2024,,,09/06/2024,778.0,9320370.0,"§ 27-2104 ADM CODE POST AND MAINTAIN A PROPER SIGN ON WALL OF ENTRANCE STORY SHOWING THE REGISTRATION NUMBER ASSIGNED BY THE DEPARTMENT AND THE ADDRESS OF THE BUILDING. AT PUBLIC HALL, 1st STORY",2024-09-04,21.0,NOT COMPLIED WITH,2024-09-12,Original,Open,N,2024,2024.0,2025-10-06,397.0,2024-06-26
5090,EDENWALD,BRONX,2039,2023-06-27,1160 229 DRIVE SOUTH,1160.0,229 DRIVE SOUTH,1160 229 DRIVE SOUTH,17277254,807151,228725.0,2,1160,1160,1160,229 DRIVE SOUTH,A,2024-09-16,2024-09-16,01/04/2025,12/21/2024,,,12/30/2024,556.0,9339936.0,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT AT SOUTH WALL IN THE FOYER LOCATED AT APT 8H, 8th STORY, 2nd APARTMENT FROM NORTH AT EAST",2024-09-17,9.0,VIOLATION DISMISSED,2025-03-12,Original,Close,N,2024,2024.0,2025-10-06,176.0,2024-06-26
5091,EDENWALD,BRONX,2039,2023-06-27,1160 229 DRIVE SOUTH,1160.0,229 DRIVE SOUTH,1160 229 DRIVE SOUTH,17618191,807151,228725.0,2,1160,1160,1160,229 DRIVE SOUTH,C,2025-01-13,2025-01-13,01/27/2025,01/20/2025,,,01/21/2025,501.0,9579252.0,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE ELECTRICAL WALL OUTLET AT SOUTH WALL IN THE KITCHEN LOCATED AT APT 8B, 8th STORY, 4th APARTMENT FROM NORTH AT EAST",2025-01-14,9.0,VIOLATION DISMISSED,2025-04-03,Original,Close,N,2025,2025.0,2025-10-06,79.0,2024-06-26
5092,EDENWALD,BRONX,2039,2023-06-27,1160 229 DRIVE SOUTH,1160.0,229 DRIVE SOUTH,1160 229 DRIVE SOUTH,17618192,807151,228725.0,2,1160,1160,1160,229 DRIVE SOUTH,B,2025-01-13,2025-01-13,03/04/2025,02/18/2025,,,01/21/2025,510.0,9579251.0,"§ 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF HEAVY DUTY ELECTRICAL CHORD AT EXTENDING FROM EAST WALL TO KITCHEN IN THE 1st ROOM FROM NORTH LOCATED AT APT 8B, 8th STORY, 4th APARTMENT FROM NORTH AT EAST",2025-01-14,9.0,VIOLATION DISMISSED,2025-04-03,Original,Close,N,2025,2025.0,2025-10-06,79.0,2024-06-26
5093,EDENWALD,BRONX,2039,2023-06-27,1160 229 DRIVE SOUTH,1160.0,229 DRIVE SOUTH,1160 229 DRIVE SOUTH,17277253,807151,228725.0,2,1160,1160,1160,229 DRIVE SOUTH,A,2024-09-16,2024-09-16,01/04/2025,12/21/2024,,,12/30/2024,508.0,9339936.0,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT NORTH WALL IN THE FOYER LOCATED AT APT 8H, 8th STORY, 2nd APARTMENT FROM NORTH AT EAST",2024-09-17,9.0,VIOLATION DISMISSED,2025-03-12,Original,Close,N,2024,2024.0,2025-10-06,176.0,2024-06-26
5094,EDENWALD,BRONX,2039,2023-06-27,1160 229 DRIVE SOUTH,1160.0,229 DRIVE SOUTH,1160 229 DRIVE SOUTH,17338635,807151,228725.0,2,1160,1160,1160,229 DRIVE SOUTH,A,2024-10-07,2024-10-07,01/25/2025,01/11/2025,,,12/30/2024,556.0,9371884.0,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT SOUTH WALL IN THE PRIVATE HALLWAY LOCATED AT APT 8H, 8th STORY, 2nd APARTMENT FROM EAST AT SOUTH",2024-10-08,9.0,VIOLATION DISMISSED,2025-03-12,Original,Close,N,2024,2024.0,2025-10-06,155.0,2024-06-26
5095,EDENWALD,BRONX,2039,2023-06-27,1160 229 DRIVE SOUTH,1160.0,229 DRIVE SOUTH,1160 229 DRIVE SOUTH,17338637,807151,228725.0,2,1160,1160,1160,229 DRIVE SOUTH,A,2024-10-07,2024-10-07,01/25/2025,01/11/2025,,,12/30/2024,556.0,9371884.0,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT WEST WALL IN THE BATHROOM LOCATED AT APT 8H, 8th STORY, 2nd APARTMENT FROM EAST AT SOUTH",2024-10-08,9.0,VIOLATION DISMISSED,2025-03-12,Original,Close,N,2024,2024.0,2025-10-06,155.0,2024-06-26
5096,EDENWALD,BRONX,2039,2023-06-27,1183 226 DRIVE,1183.0,226 DRIVE,1183 226 DRIVE,17576466,807141,290046.0,2,1183,1183,1187,226 DRIVE,C,2024-10-31,2024-12-20,01/01/2025,12/27/2024,,,,618.0,9549137.0,"§ 27-2056.7 ADM CODE: CORRECT FAILURE TO PROVIDE TO THE DEPARTMENT WITHIN 45 DAYS OF DEMAND ALL RECORDS REQUIRED TO BE MAINTAINED BY OWNER PURSUANT TO LOCAL LAW 1 OF 2004 RELATED TO LEAD-BASED PAINT NOTICES, INSPECTIONS AND REMEDIATION/ABATEMENT ACTIVITIES.",2024-12-23,2.0,NOV SENT OUT,2024-12-23,Original,Open,N,2024,2024.0,2025-10-06,287.0,2024-06-26
