,full_address,A,B,C,I,,,,,,
243,1180 GRENADA PLACE,7,3,6,,,,,,,
244,515 EAST 143 STREET,,1,6,,,,,,,
245,2155 PITKIN AVENUE,4,2,6,,,,,,,
246,811 EAST 167 STREET,3,8,6,1,,,,,,
247,820 HENDERSON AVENUE,5,7,6,1,,,,,,
248,51-15 ALMEDA AVENUE,6,10,6,,,,,,,
249,151 WEST 143 STREET,2,2,6,,,,,,,
250,51-11 ALMEDA AVENUE,3,8,6,,,,,,,
251,315 LEXINGTON AVENUE,2,11,6,1,,,,,,
252,32 GRAFTON STREET,3,5,6,,,,,,,
253,840 HEWITT PLACE,1,3,6,,,,,,,
254,290 CENTRAL AVENUE,4,2,6,2,,,,,,
255,170 TAPSCOTT STREET,8,9,6,,,,,,,
256,200 TEN EYCK WALK,3,2,6,,,,,,,
257,331 LEXINGTON AVENUE,4,,6,3,,,,,,
258,2109 AMSTERDAM AVENUE,6,5,6,,,,,,,
259,1135 EAST 229 STREET,2,10,6,,,,,,,
260,908 ASHFORD STREET,6,15,6,,,,,,,
261,90 TEN EYCK WALK,5,1,5,,,,,,,
262,550 EAST 144 STREET,3,5,5,,,,,,,
263,143 WEST 143 STREET,1,,5,,,,,,,
264,511 HOWARD AVENUE,4,4,5,1,,,,,,
265,440 CENTRAL AVENUE,3,,5,1,,,,,,
266,547 RALPH AVENUE,,,5,,,,,,,
267,1184 NELSON AVENUE,1,6,5,,,,,,,
268,85 TAYLOR STREET,20,19,5,,,,,,,
269,109 TEN EYCK WALK,2,,5,,,,,,,
270,571 HOWARD AVENUE,1,2,5,,,,,,,
271,2407 ADAM C POWELL BOULEVARD,2,16,5,,,,,,,
272,499 GATES AVENUE,8,4,5,,,,,,,
273,129 WEST 144 STREET,6,6,5,,,,,,,
274,202 GRAHAM AVENUE,5,1,5,,,,,,,
275,110 TEN EYCK WALK,3,,5,,,,,,,
276,409 EAST 146 STREET,4,1,5,,,,,,,
277,85 PALMETTO STREET,3,4,5,1,,,,,,
278,239 LINDEN STREET,4,7,5,1,,,,,,
279,3555 BIVONA STREET,,10,5,,,,,,,
280,225 DIVISION AVENUE,11,5,5,,,,,,,
281,500 WEST 164 STREET,3,4,5,,,,,,,
282,218 ROCHESTER AVENUE,4,1,5,,,,,,,
283,1660 PACIFIC STREET,14,8,4,3,,,,,,
284,140 MENAHAN STREET,4,3,4,1,,,,,,
285,1320 GATES AVENUE,4,,4,1,,,,,,
286,360 LEXINGTON AVENUE,12,5,4,1,,,,,,
287,1260 GATES AVENUE,7,1,4,1,,,,,,
288,195 DIVISION AVENUE,15,1,4,,,,,,,
289,1930 SCHIEFFELIN AVENUE,5,5,4,,,,,,,
290,845 CAULDWELL AVENUE,3,5,4,1,,,,,,
291,190 PALMETTO STREET,9,8,4,1,,,,,,
292,310 LEXINGTON AVENUE,2,3,4,,,,,,,
293,1150 UNION AVENUE,7,,4,1,,,,,,
294,159 WEST 143 STREET,2,2,4,,,,,,,
295,1195 EAST 229 STREET,1,1,4,,,,,,,
