,level_0,omoid,omonumber,bbl_x,buildingid,boro id,housenumber_x,streetname_x,boro_x,apartment,lifecycle,worktypegeneral,omostatusreason,omoawardamount,omocreatedate,netchangeorders,omoawarddate,isaep,iscommercialdemolition,servicechargeflag,femaeventid,femaevent,omodescription,nta,full_address,Unnamed: 0,bbl_y,bldg#,m,direction,housenumber_y,streetname_y,street_type,zip,index,development,transfer_date,boro_y,units,old_merge,_merge
243,459401,5478229,EP06745,3035080046,360190,3,682,RALPH AVENUE,BROOKLYN,,Standing Building,GC,OMO Completed,"2,780",9/13/24,0,9/25/24,,,FALSE,,,"at vestibule door make all necessary repairs to replace broken/defective door and jamb with new properly fire rated door and jamb , complete with s",Brownsville,682 RALPH AVENUE,1026,3035080046,3,M,,682,RALPH,AVENUE,11212,1065,RALPH AVENUE REHAB,11/28/23,BROOKLYN,118,both,both
244,459450,5480675,EP07363,2049050001,806907,2,1981,SCHIEFFELIN AVENUE,BRONX,,Standing Building,GC,Owner Refused Access,"1,570",9/21/24,0,9/25/24,,,TRUE,,,"boiler room replace broken/defective door and jamb with new properly fire rated door and jamb similar to existing, complete with self-closing hinges",Eastchester-Edenwald-Baychester,1981 SCHIEFFELIN AVENUE,477,2049050001,5,M,,1981,SCHIEFFELIN,AVENUE,10466,446,EDENWALD,6/27/23,BRONX,2039,both,both
245,459861,5430011,EO27492,3035090059,383517,3,2058,UNION STREET,BROOKLYN,,Standing Building,GC,OMO Completed,800,4/3/24,0,4/8/24,,,FALSE,,,door closer at vestibule door. make all necessary repairs to make door self closing . also install door closer . return to proper working order,Brownsville,2058 UNION STREET,1161,3035090059,3,M,,2058,UNION,STREET,11212,1199,SUTTER AVENUE-UNION STREET,11/28/23,BROOKLYN,100,both,both
246,459891,5446915,EO33006,3043770001,809353,3,845,SCHENCK AVENUE,BROOKLYN,6A,Standing Building,GC,No Access,"3,000",5/21/24,0,6/3/24,,,TRUE,,,all mold remediation work to be done following safe work practice per new york state department of labor law article 32 & nyc-dep local law 61 of 20,East New York-New Lots,845 SCHENCK AVENUE,258,3043770001,11,M,,845,SCHENCK,AVENUE,11207,266,BOULEVARD,12/28/21,BROOKLYN,1441,both,both
247,460018,5480368,EP07267,3035100001,809717,3,2069,UNION STREET,BROOKLYN,,Standing Building,GC,OMO Completed,587,9/20/24,0,9/26/24,,,FALSE,,,"make vestibule door self closing install heavy duty door closer and make necessary adjustment to make door self-closing at ( vestibule door, public h",Brownsville,2069 UNION STREET,1156,3035100001,1,M,,2069,UNION,STREET,11212,1195,SUTTER AVENUE-UNION STREET,11/28/23,BROOKLYN,100,both,both
248,460171,5481800,EP07711,1012210007,805761,1,133,WEST 90 STREET,MANHATTAN,,Standing Building,GC,OMO Completed,"1,589",9/25/24,0,9/27/24,,,FALSE,,,"defective hopper door at 1st sty at hopper door located at :public hall, (1st sty) demo and completely remove the defective existing hopper door",Upper West Side (Central),133 WEST 90 STREET,1480,1012210007,2,M,WEST,133,90,STREET,10024,1520,WISE TOWERS,11/30/20,MANHATTAN,399,both,both
249,460397,5461156,EP01222,3043550001,809553,3,725,STANLEY AVENUE,BROOKLYN,11D,Standing Building,DELEAD,OMO Completed,62.5,7/12/24,0,7/15/24,,,FALSE,,,perform total lead analysis of 05 dust wipe sample(s) via environmental protection agency (epa) sw8463050b-7000b method utilizing flame atomic absorpt,East New York-New Lots,725 STANLEY AVENUE,280,3043550001,5,M,,725,STANLEY,AVENUE,11207,260,BOULEVARD,12/28/21,BROOKLYN,1441,both,both
250,460710,5450378,EO34198,1021110041,43031,1,463,WEST 164 STREET,MANHATTAN,,Standing Building,GC,Duplicate OMO,587,6/3/24,0,8/2/24,,,FALSE,,,defective hinges at 1st sty public hall at first sty public hall door....replace defective hinges with new self closing hinges..install new latch co,Washington Heights (South),463 WEST 164 STREET,1232,1021110041,5,M,WEST,463,164,STREET,10032,1277,WASHINGTON HEIGHTS REHAB PHASE III (FORT WASHINGTON),11/30/20,MANHATTAN,88,both,both
251,460784,5499728,EP13609,3043770001,809354,3,881,SCHENCK AVENUE,BROOKLYN,,Standing Building,GC,Landlord Complied,800,11/27/24,0,12/12/24,,,TRUE,,,"nyc hpd emergency operations division  essential service work  at building entrance door, at public hall 1st story. repair door to adhere to loca",East New York-New Lots,881 SCHENCK AVENUE,260,3043770001,12,M,,881,SCHENCK,AVENUE,11207,266,BOULEVARD,12/28/21,BROOKLYN,1441,both,both
252,460851,5481091,EP07495,3037250001,808855,3,320,MILLER AVENUE,BROOKLYN,,Standing Building,GC,Refused Access,"1,200",9/23/24,0,9/30/24,,,TRUE,,,restore drop ladder to proper working order for fire escape at east and west (front and rear of the bldg) nyc hpd emergency operations division,East New York (North),320 MILLER AVENUE,505,3037250001,10,M,,320,MILLER,AVENUE,11207,544,FIORENTINO PLAZA,12/28/21,BROOKLYN,160,both,both
