development_name,borough,total_units,transferred_date,address,street_number,street_name,full_address,violationid,buildingid,registrationid,boroid,housenumber,lowhousenumber,highhousenumber,streetname,class,inspectiondate,approveddate,originalcertifybydate,originalcorrectbydate,newcertifybydate,newcorrectbydate,certifieddate,ordernumber,novid,novdescription,novissueddate,currentstatusid,currentstatus,currentstatusdate,novtype,violationstatus,rentimpairing,inspectiondate_year,novissued_year
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17621778,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,C,2025-01-14,2025-01-14,01/27/2025,01/15/2025,,,01/23/2025,670.0,9579714.0,"§ 27-2031 ADM CODE PROVIDE HOT WATER AT ALL HOT WATER FIXTURES IN THE ENTIRE APARTMENT LOCATED AT APT 10E, 10th STORY, 1st APARTMENT FROM SOUTH AT WEST",2025-01-15,9.0,VIOLATION DISMISSED,04/07/2025,Original,Close,Y,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17610359,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,A,2025-01-10,2025-01-10,05/02/2025,04/18/2025,,,05/01/2025,556.0,9574976.0,§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT AT CEILING AT PUBLIC HALL,2025-01-13,9.0,VIOLATION DISMISSED,07/14/2025,Original,Close,N,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,18120912,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,B,2025-07-29,2025-07-29,09/17/2025,09/03/2025,,,09/17/2025,506.0,9928554.0,"§ 27-2005 ADM CODE REPLACE WITH NEW THE MISSING VANITY AT WASHBASIN IN THE BATHROOM LOCATED AT APT 9E, 9th STORY, 2nd APARTMENT FROM SOUTH AT WEST",2025-07-30,11.0,VIOLATION WILL BE REINSPECTED,09/26/2025,Original,Open,N,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,18120914,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,B,2025-07-29,2025-07-29,09/17/2025,09/03/2025,,,09/17/2025,501.0,9928554.0,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE CEILING LIGHT FIXTURE IN THE 2nd ROOM FROM NORTH AT WEST LOCATED AT APT 9E, 9th STORY, 2nd APARTMENT FROM SOUTH AT WEST",2025-07-30,11.0,VIOLATION WILL BE REINSPECTED,09/26/2025,Original,Open,N,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,18221496,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,C,2025-09-05,2025-09-08,09/28/2025,09/23/2025,,,09/26/2025,530.0,9984297.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE ENTRANCE DOOR HINGES IN THE ENTRANCE LOCATED AT APT 9E, 9th STORY, 2nd APARTMENT FROM SOUTH AT WEST",2025-09-09,22.0,FIRST NO ACCESS TO RE- INSPECT VIOLATION,10/01/2025,Original,Open,N,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,18267005,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,B,2025-09-28,2025-10-01,11/20/2025,11/06/2025,,,,583.0,10015763.0,"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING AT PUBLIC HALL",2025-10-02,2.0,NOV SENT OUT,10/02/2025,Original,Open,N,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,18117947,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,B,2025-07-23,2025-07-24,09/12/2025,08/29/2025,,,09/12/2025,501.0,9922603.0,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE LATCH SET AT VESTIBULE DOOR AT PUBLIC HALL, 1st STORY",2025-07-25,11.0,VIOLATION WILL BE REINSPECTED,09/26/2025,Original,Open,N,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,18267007,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,B,2025-09-28,2025-10-01,11/20/2025,11/06/2025,,,,502.0,10015763.0,§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE FIRE RETARDANT MATERIAL AT CEILING AT PUBLIC HALL,2025-10-02,2.0,NOV SENT OUT,10/02/2025,Original,Open,N,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17422991,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,B,2024-11-16,2024-11-15,01/06/2025,12/23/2024,,,01/06/2025,501.0,9430553.0,§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE LATCH SET AT FIRE-STAIRS DOOR ''''A'''' 20TH STORY,2024-11-18,9.0,VIOLATION DISMISSED,03/19/2025,Original,Close,N,2024,2024.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,18011505,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,B,2025-06-13,2025-06-14,08/04/2025,07/21/2025,,,07/30/2025,501.0,9870064.0,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE LOCKSET AT MAILBOX FOR APT 18G AT PUBLIC HALL, 1st STORY",2025-06-16,21.0,NOT COMPLIED WITH,09/08/2025,Original,Open,N,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,18120913,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,B,2025-07-29,2025-07-29,09/17/2025,09/03/2025,,,09/17/2025,689.0,9928554.0,"§ 27-2005, 2006, 2037 HMC: PROPERLY REPAIR AND ABATE UNSAFE ELECTRIC WIRING CONDITION CONSISTING OF AT CEILING LIGHT FIXTURE IN THE 1st ROOM FROM NORTH AT WEST LOCATED AT APT 9E, 9th STORY, 2nd APARTMENT FROM SOUTH AT WEST",2025-07-30,11.0,VIOLATION WILL BE REINSPECTED,09/26/2025,Original,Open,N,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,18257541,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,B,2025-09-27,2025-09-27,11/17/2025,11/03/2025,,,,1503.0,10009989.0,"§ 27-2045(B)(1)(B) HMC, § 12-06, § 12-07, § 12-09 RCNY REPAIR, REPLACE OR PROVIDE AN APPROVED AND OPERATIONAL CARBON MONOXIDE DETECTING DEVICE, INSTALLED IN ACCORDANCE WITH APPLICABLE LAW AND RULES THAT IS DEFECTIVE IN THE ENTIRE APARTMENT LOCATED AT APT 17D, 17th STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION ''SOUTH''",2025-09-29,2.0,NOV SENT OUT,09/29/2025,Original,Open,N,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,18257542,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,B,2025-09-27,2025-09-27,11/17/2025,11/03/2025,,,,702.0,10009989.0,"§ 27-2045(B)(1)(A) HMC, § 12-01, § 12-03 RCNY REPAIR, REPLACE OR PROVIDE AN APPROVED AND OPERATIONAL SMOKE DETECTING DEVICE, INSTALLED IN ACCORDANCE WITH DEPARTMENT OF BUILDINGS RULES AND REGULATIONS THAT IS DEFECTIVE IN THE ENTIRE APARTMENT LOCATED AT APT 17D, 17th STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION ''SOUTH''",2025-09-29,2.0,NOV SENT OUT,09/29/2025,Original,Open,N,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,18257543,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,C,2025-09-27,2025-09-27,10/18/2025,10/13/2025,,,,536.0,10009990.0,"§ 27-2005, 2007 ADM CODE REMOVE DEVICE PREVENTING DOOR FROM BEING SELF-CLOSING DROP DOWN KICKSTAND INSTALLED AT DOOR IN THE ENTRANCE LOCATED AT APT 17D, 17th STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION ''SOUTH''",2025-09-29,2.0,NOV SENT OUT,09/29/2025,Original,Open,N,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,18264464,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,B,2025-10-01,2025-10-01,11/20/2025,11/06/2025,,,,577.0,10015764.0,"§ 27-2024 ADM CODE PROVIDE ADEQUATE SUPPLY OF HOT WATER FOR THE FIXTURES NO VOLUME TO THE FIXTURES AT WASHBASIN, AND BATHTUB IN THE BATHROOM LOCATED AT APT 16E, 16th STORY, 2nd APARTMENT FROM SOUTH AT WEST",2025-10-02,2.0,NOV SENT OUT,10/02/2025,Original,Open,Y,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,18264465,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,B,2025-10-01,2025-10-01,11/20/2025,11/06/2025,,,,576.0,10015764.0,"§ 27-2024 ADM CODE PROVIDE ADEQUATE SUPPLY OF COLD WATER FOR THE FIXTURES AT WASHBASIN AND BATHTUB IN THE BATHROOM LOCATED AT APT 16E, 16th STORY, 2nd APARTMENT FROM SOUTH AT WEST",2025-10-02,2.0,NOV SENT OUT,10/02/2025,Original,Open,Y,2025,2025.0
