,level_0,Unnamed: 0,bbl,bldg#,m,direction,house_num,street_name,street_type,zip,full_address,index,development,transfer_date,borough,units,_merge,violationid,buildingid,registrationid,boroid,housenumber,lowhousenumber,highhousenumber,streetname,class,inspectiondate,approveddate,originalcertifybydate,originalcorrectbydate,newcertifybydate,newcorrectbydate,certifieddate,ordernumber,novid,novdescription,novissueddate,currentstatusid,currentstatus,currentstatusdate,novtype,violationstatus,rentimpairing,inspectiondate_year,novissued_year,date_pulled,days_converted,vio_days_after_conversion,yr_post_conversion,days_vio_open,vio_open_range
8507,9000,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,12450863,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,C,2018-06-25,2018-06-27,07/11/2018,07/06/2018,,,07/11/2018,508.0,6126934.0,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR SOUTH WALL IN THE 1st LIVING ROOM FROM EAST AT SOUTH LOCATED AT APT 2A, 2nd STORY, APARTMENT AT EAST",2018-06-28,19.0,VIOLATION CLOSED,2018-09-20,Original,Close,N,2018,2018.0,2025-11-23,3249 days,541 days,1,84 days,one to three months
8508,9001,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,13122204,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,B,2019-06-13,2019-06-14,08/05/2019,07/22/2019,,,,576.0,6512784.0,"§ 27-2024 ADM CODE PROVIDE ADEQUATE SUPPLY OF COLD WATER FOR THE FIXTURES AT SINK IN THE KITCHEN LOCATED AT APT 2A, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",2019-06-17,19.0,VIOLATION CLOSED,2019-09-20,Original,Close,Y,2019,2019.0,2025-11-23,3249 days,894 days,2,95 days,three to six months
8509,9002,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,14439315,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,A,2021-07-14,2021-07-15,11/02/2021,10/19/2021,,,11/02/2021,505.0,7409462.0,"§ 27-2005 ADM CODE REPLACE WITH NEW THE BROKEN OR DEFECTIVE REFRIGERATOR DOOR SEAL IN THE KITCHEN LOCATED AT APT 3A, 3rd STORY, 2nd APARTMENT FROM NORTH AT EAST",2021-07-16,9.0,VIOLATION DISMISSED,2022-01-13,Original,Close,N,2021,2021.0,2025-11-23,3249 days,1656 days,4,181 days,six months to a year
8510,9003,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,14573140,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,A,2021-09-20,2021-09-21,01/09/2022,12/26/2021,,,11/16/2021,550.0,7486059.0,"§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX. 8 SQ. FT. AT THE SOUTH WALL IN THE 4th ROOM FROM NORTH LOCATED AT APT 3A, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST , SECTION AT WEST",2021-09-22,19.0,VIOLATION CLOSED,2022-01-20,Original,Close,N,2021,2021.0,2025-11-23,3249 days,1724 days,4,120 days,three to six months
8511,9004,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,14579261,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,A,2021-09-20,2021-09-21,01/09/2022,12/26/2021,,,,556.0,7486058.0,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL PEELING PAINT SURFACES IN THE 4th ROOM FROM NORTH, THE 2nd ROOM FROM NORTH, THE 1st ROOM FROM NORTH AT EAST, THE PRIVATE HALLWAY , THE FOYER , THE KITCHEN LOCATED AT APT 3A, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST , SECTION AT WEST",2021-09-22,19.0,VIOLATION CLOSED,2022-01-20,Original,Close,N,2021,2021.0,2025-11-23,3249 days,1724 days,4,120 days,three to six months
8512,9005,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,16096195,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,C,2023-07-11,2023-07-12,08/01/2023,07/27/2023,,,08/01/2023,530.0,8557745.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE WEST FIRE DOOR (A) LEADING TO FIRE STAIRS AT PUBLIC HALL, 3rd STORY",2023-07-13,19.0,VIOLATION CLOSED,2023-08-07,Original,Close,N,2023,2023.0,2025-11-23,3249 days,2383 days,6,25 days,one week to a month
8513,9006,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,16354117,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,C,2023-11-02,2023-11-02,11/22/2023,11/17/2023,,,11/21/2023,530.0,8714922.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE . IN THE ENTRANCE LOCATED AT APT 3D, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION AT WEST",2023-11-03,19.0,VIOLATION CLOSED,2023-11-26,Original,Close,N,2023,2023.0,2025-11-23,3249 days,2497 days,6,23 days,one week to a month
8514,9007,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,16789149,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,B,2024-03-28,2024-03-29,05/20/2024,05/06/2024,,,05/15/2024,702.0,9021846.0,"§ 27-2045 ADM CODE REPAIR OR REPLACE THE SMOKE DETECTOR DEFECTIVE IN THE ENTIRE APARTMENT LOCATED AT APT 3C, 3rd STORY, 2nd APARTMENT FROM EAST AT SOUTH",2024-04-01,9.0,VIOLATION DISMISSED,2024-07-26,Original,Close,N,2024,2024.0,2025-11-23,3249 days,2644 days,7,116 days,three to six months
8515,9008,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,14573138,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,B,2021-09-20,2021-09-21,11/10/2021,10/27/2021,,,,1503.0,7486060.0,"§ 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). DEFECTIVE IN THE ENTIRE APARTMENT LOCATED AT APT 3A, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST , SECTION AT WEST",2021-09-22,19.0,VIOLATION CLOSED,2022-01-20,Original,Close,N,2021,2021.0,2025-11-23,3249 days,1724 days,4,120 days,three to six months
8516,9009,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,14573139,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,C,2021-09-20,2021-09-21,10/23/2021,10/18/2021,,,,568.0,7486061.0,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 3A, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST , SECTION AT WEST",2021-09-22,19.0,VIOLATION CLOSED,2022-04-29,Original,Close,N,2021,2021.0,2025-11-23,3249 days,1724 days,4,219 days,six months to a year
