,level_0,Unnamed: 0,bbl,bldg#,m,direction,house_num,street_name,street_type,zip,full_address,index,development,transfer_date,borough,units,_merge,violationid,buildingid,registrationid,boroid,housenumber,lowhousenumber,highhousenumber,streetname,class,inspectiondate,approveddate,originalcertifybydate,originalcorrectbydate,newcertifybydate,newcorrectbydate,certifieddate,ordernumber,novid,novdescription,novissueddate,currentstatusid,currentstatus,currentstatusdate,novtype,violationstatus,rentimpairing,inspectiondate_year,novissued_year,date_pulled,days_converted,vio_days_after_conversion,yr_post_conversion,days_vio_open,vio_open_range
2979,3048,280,3043550001,5,M,,725,STANLEY,AVENUE,11207,725 STANLEY AVENUE,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,17380963,809553,389881.0,3,725,725,725,STANLEY AVENUE,A,2024-10-29,2024-11-04,02/23/2025,02/09/2025,,,02/28/2025,583.0,9415275.0,"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING AND ALL WALLS IN THE BATHROOM LOCATED AT APT 6E, 6th STORY, 1st APARTMENT FROM SOUTH AT WEST",2024-11-06,19.0,VIOLATION CLOSED,2025-10-30,Original,Close,N,2024,2024.0,2025-11-23,1426 days,1036 days,2,358 days,six months to a year
2980,3049,280,3043550001,5,M,,725,STANLEY,AVENUE,11207,725 STANLEY AVENUE,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,17380964,809553,389881.0,3,725,725,725,STANLEY AVENUE,A,2024-10-29,2024-11-04,02/23/2025,02/09/2025,,,02/28/2025,508.0,9415275.0,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING AND ALL WALLS IN THE BATHROOM LOCATED AT APT 6E, 6th STORY, 1st APARTMENT FROM SOUTH AT WEST",2024-11-06,19.0,VIOLATION CLOSED,2025-10-30,Original,Close,N,2024,2024.0,2025-11-23,1426 days,1036 days,2,358 days,six months to a year
2981,3050,280,3043550001,5,M,,725,STANLEY,AVENUE,11207,725 STANLEY AVENUE,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,17380962,809553,389881.0,3,725,725,725,STANLEY AVENUE,B,2024-10-29,2024-11-04,12/25/2024,12/11/2024,,,,550.0,9415276.0,"§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROXIMATELY MORE THAN 10 SQAURE FEET OF MOLD AT CEILING, AND ALL WALLS IN THE BATHROOM LOCATED AT APT 6E, 6th STORY, 1st APARTMENT FROM SOUTH AT WEST",2024-11-06,19.0,VIOLATION CLOSED,2025-06-19,Original,Close,N,2024,2024.0,2025-11-23,1426 days,1036 days,2,225 days,six months to a year
2982,3051,280,3043550001,5,M,,725,STANLEY,AVENUE,11207,725 STANLEY AVENUE,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,17756715,809553,389881.0,3,725,725,725,STANLEY AVENUE,B,2025-03-13,2025-03-18,05/07/2025,04/23/2025,,,,502.0,9676721.0,"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL FLOOR TILES IN THE KITCHEN LOCATED AT APT 1F, 1st STORY, 1st APARTMENT FROM WEST AT NORTH",2025-03-19,19.0,VIOLATION CLOSED,2025-11-20,Original,Close,N,2025,2025.0,2025-11-23,1426 days,1171 days,3,246 days,six months to a year
2983,3052,280,3043550001,5,M,,725,STANLEY,AVENUE,11207,725 STANLEY AVENUE,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,17756717,809553,389881.0,3,725,725,725,STANLEY AVENUE,B,2025-03-13,2025-03-18,05/07/2025,04/23/2025,,,06/24/2025,1503.0,9676721.0,"§ 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). DEFECTIVE IN THE ENTIRE APARTMENT LOCATED AT APT 1F, 1st STORY, 1st APARTMENT FROM WEST AT NORTH",2025-03-19,19.0,VIOLATION CLOSED,2025-11-20,Original,Close,N,2025,2025.0,2025-11-23,1426 days,1171 days,3,246 days,six months to a year
2984,3053,280,3043550001,5,M,,725,STANLEY,AVENUE,11207,725 STANLEY AVENUE,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,18130697,809553,389881.0,3,725,725,725,STANLEY AVENUE,B,2025-08-02,2025-08-02,09/22/2025,09/08/2025,,,,550.0,9935735.0,"§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... GREATER THAN 10SQ FEET AT THE CEILING, NORTH, AND EAST WALLS IN THE BATHROOM LOCATED AT APT 6E, 6th STORY, 2nd APARTMENT FROM EAST AT SOUTH",2025-08-04,20.0,DEFECT LETTER ISSUED,2025-10-30,Original,Open,N,2025,2025.0,2025-11-23,1426 days,1313 days,3,111 days,three to six months
2985,3054,280,3043550001,5,M,,725,STANLEY,AVENUE,11207,725 STANLEY AVENUE,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,18130698,809553,389881.0,3,725,725,725,STANLEY AVENUE,C,2025-08-02,2025-08-02,09/04/2025,08/30/2025,,,08/27/2025,568.0,9935736.0,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 6E, 6th STORY, 2nd APARTMENT FROM EAST AT SOUTH",2025-08-04,20.0,DEFECT LETTER ISSUED,2025-10-30,Original,Open,N,2025,2025.0,2025-11-23,1426 days,1313 days,3,111 days,three to six months
2986,3055,280,3043550001,5,M,,725,STANLEY,AVENUE,11207,725 STANLEY AVENUE,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,15123233,809553,389881.0,3,725,725,725,STANLEY AVENUE,A,2022-04-28,2022-04-28,08/16/2022,08/02/2022,,,09/03/2022,1501.0,7892073.0,"§ 27-2046.1 HMC: POST A PROPER NOTICE OF CARBON MONOXIDE DETECTING DEVICE REQUIREMENTS, IN A FORM APPROVED BY THE COMMISSIONER, IN A COMMON AREA OF A CLASS A MULTIPLE DWELLING NEAR INSPECTION CERTIFICATE OR PROVIDE NOTICE TO TENANTS IN A PRIVATE DWELLING.",2022-04-29,19.0,VIOLATION CLOSED,2024-12-27,Original,Close,N,2022,2022.0,2025-11-23,1426 days,121 days,0,973 days,more than a year
2987,3056,280,3043550001,5,M,,725,STANLEY,AVENUE,11207,725 STANLEY AVENUE,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,18061282,809553,389881.0,3,725,725,725,STANLEY AVENUE,C,2025-06-24,2025-06-26,07/28/2025,07/23/2025,,,09/09/2025,568.0,9886498.0,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 1C, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",2025-06-27,4.0,NOV CERTIFIED LATE,2025-09-09,Original,Open,N,2025,2025.0,2025-11-23,1426 days,1274 days,3,149 days,three to six months
2988,3057,280,3043550001,5,M,,725,STANLEY,AVENUE,11207,725 STANLEY AVENUE,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,16946577,809553,389881.0,3,725,725,725,STANLEY AVENUE,A,2024-04-30,2024-05-01,08/19/2024,08/05/2024,,,,556.0,9141445.0,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL PEELING PAINT SURFACES IN THE 1st ROOM FROM NORTH, THE BATHROOM , THE KITCHEN LOCATED AT APT 11D, 11th STORY, 1st APARTMENT FROM SOUTH AT WEST",2024-05-02,21.0,NOT COMPLIED WITH,2025-08-14,Original,Open,N,2024,2024.0,2025-11-23,1426 days,854 days,2,570 days,more than a year
